document,quotation,codes,comment
0589 [M] M.S. in Data Analytics.docx,"
MC626 Ethical Issues
",Ethical issues,
0592 [M] Professional Master of Science in Computer Science-Data Science and Eng.docx,"
Enjoy interdisciplinary research opportunities in cognitive science, aerospace engineering and information sciences (just to name a few).
",Interdisciplinary,
0592 [M] Professional Master of Science in Computer Science-Data Science and Eng.docx,"
Artificial intelligence

Computational biology

Human-centered computing

Numerical & scientific computing

Programming languages

Software engineering

Database systems

Systems & networking

Theory of computing
",Courses,
0594 [C] Certification of Professional Achievement in Data Science.docx,"
REQUIRED/CORE COURSES:

CSOR W4246 ALGORITHMS FOR DATA SCIENCE

STAT GR5701 PROBABILITY AND STATISTICS

COMS W4721 MACHINE LEARNING FOR DATA SCIENCE

STAT GR5702 EXPLORATORY DATA ANALYSIS AND VISUALIZATION
",Courses,
0594 [C] Certification of Professional Achievement in Data Science.docx,"
The Certification of Professional Achievement in Data Sciences prepares students to expand their career prospects or change career paths by developing foundational data science skills
",Mission,
0595 [M] M.S. in Business Analytics.docx,"
Develop new insights and understanding of business performance using data, statistical and quantitative analysis, and explanatory and predictive modeling to help make actionable decisions and to improve business operations.


",Mission,
0595 [M] M.S. in Business Analytics.docx,"
Students pursuing this degree program are provided with a rigorous exposure to optimization and stochastic modeling, and a deep coverage of applications in the areas of analytics.
",Skills,
0597 [M] M.Eng. concentration in Data Analytics.docx,"
The Data Analytics concentration (DA) focuses on the theory and tools needed to

make fact-based, data-driven decisions associated with the development, pricing,

promotion, and distribution of ideas, goods, and services.
",Mission,
0597 [M] M.Eng. concentration in Data Analytics.docx,"
Optimization Modeling Courses:

• ORIE 4140 – Mathematical Modeling of Operational Systems (F 2 cr)

• ORIE 4350 – Intro to Game Theory (F 4 cr)

• ORIE 5100 – Design of Manufacturing Systems (F 4 cr)

• ORIE 5126 – Principles of Supply Chain Management (S 4 cr)

• ORIE 5300 – Optimization I (F 4 cr)

• ORIE 5310 – Optimization II (S 4 cr)

• ORIE 5370 – Optimization Modeling in Finance (S 3 cr)

• ORIE 63XX courses (ONLY with Instructor and Advisor Approval)

• MATH 3610 – Mathematical Modeling (F 4 cr)

• MATH 4260 – Numerical Analysis: Linear & Nonlinear Problems (S 4 cr)

• SYSEN 6800 – Computational Optimization (F 4 cr)

Stochastic Modeling Courses:

• ORIE 4600 – Intro to Financial Engineering (S 3 cr)*

• ORIE 4630 – OR Tools for Financial Engineering (F 3 cr)**

• ORIE 5100 – Design of Manufacturing Systems (F 4 cr)

• ORIE 5126 – Principles of Supply Chain Management (S 4 cr)

• ORIE 5130 – Service System Modeling and Design (F 3 cr)

• ORIE 5500 – Engineering Prob and Stat II (F 4 cr)*^

• ORIE 5510 – Intro to Engineering Stochastic Processes I (S 4 cr)***

• ORIE 5580 – Simulation Modeling and Analysis (F 4 cr)

• ORIE 5581 – Monte Carlo Simulation (F 2 cr)

• ORIE 5582 – Monte Carlo Methods in FE (S 2 cr)

• ORIE 5600 – Financial Engineering with Stochastic Calculus I (F 4 cr)

• ORIE 65XX courses (ONLY with Instructor and Advisor Approval)

• ECE 4110 – Random Signals in Comm. and Signal Processing (F 4 cr)

• ECE 4271 – Evolutionary Processes, Algorithms, Games (S 3 cr)

Data Science and Statistical Modeling Courses:

• ORIE 4630 – OR Tools for Financial Engineering (F 3 cr)**

• ORIE 4740 – Statistical Data Mining I (S 4 cr)

• ORIE 4741 – Learning with Big Messy Data (F 4 cr)

• ORIE 4742 – Information Theory, Probabilistic Modeling, & Deep

Learning with Scientific & Financial Applications (S 3 cr)

• ORIE 5550 – Applied Time Series Analysis (S 4 cr)

• ORIE 5640 – Statistics for Financial Engineering (S 4 cr)

• ORIE 67XX courses (ONLY with Instructor and Advisor Approval)

• CS 5780 – Machine Learning for Intelligent Systems (F 4 cr)

• CS 5786 – Machine Learning for Data Science (S 4 cr)

• ECE 5412 – Bayesian Estimation and Stochastic Optimization (S 3 cr)

• STSCI 4090 – Theory of Statistics (F,S 4 cr)*^

• STSCI 4740 – Data Mining and Machine Learning (F 4 cr)

• STSCI 4780 – Bayesian Data Analysis: Principles and Practice (S 4 cr)

• STSCI 5030 – Linear Models with Matrices (F 4 cr)

• SYSEN 6880 – Industrial Big Data Analytics& Machine Learning (S 4 cr)

Additional DA Electives:

• CS 4700 – Foundations of Artificial Intelligence (F,S 3 cr)

• CS 4775 – Computational Genetics and Genomics (F 4 cr)

• CS 4787 – Principles of Large-Scale Machine Learning Systems (S 4 cr)

• CS 5320 – Introduction to Database Systems (F 3 cr)

• CS 5740 – Natural Language Processing (F 4 cr)

• HADM 6030 – Quality Systems and Processes (S 3 cr)

• HADM 6050 – Revenue Management (F 3 cr)

• INFO 5100 – Visual Data Analytics for the Web (S 3 cr)

• NBA 6200 – Marketing Research (S 3 cr)

• NBA 6390 – Data-driven Marketing (F 1.5 cr)

• NBA 6920 – Machine Learning Applications in Business* (S 1.5 cr)

• NBA 6930 – Strategy and Tactics of Pricing (F 1.5 cr)

• ORIE 4820 – Spreadsheet-Based Modeling and Data Analysis (S 3 cr)

• ORIE 5270 – Big Data Technologies (S 2 cr)

• STSCI 4060 – Python Programming and its Applications in Statistics (S 3 cr)

• STSCI 4100 – Multivariate Analysis (S 4 cr)

• STSCI 4110 – Categorical Data (S 4 cr)

• STSCI 4140 – Applied Design (S 4 cr)

• STSCI 4270 – Intro to Survival Analysis (F 4 cr)

• STSCI 4520 – Statistical Computing (S 4 cr)

• STSCI 5065 – Big Data Management and Analysis (S 3 cr)
",Courses,
0597 [M] M.Eng. concentration in Data Analytics.docx,"
builds on traditional math, scientific, and engineering skills and concentrates on the application of these skills to practical problems
",Skills,
0598 [C] Advanced Certificate in Business Analytics of Large-Scale Data.docx,"
The College of Staten Island offers a certificate program in Business Analytics of Large-Scale Data. Designed for a broad spectrum of students with undergraduate degrees in business and related fields, it is focused on addressing the need for skilled analytical researchers with experience in large-scale databases.
",Mission,
